Prediction_Id	status	act_status
1254	known_chembl	
1255	known_chembl	
1256	confirmed	>10uM
1257	inactive	
1258	known	
1259	inactive	
1260	known_chembl	
1261	inactive	
1262	known_chembl	
1263	known	
1264	confirmed	1uM
1265	no data	
1266	inactive	
1267	known	
1268	inactive	
1269	known_chembl	
1270	known_chembl	
1271	no data	
1272	known	
1273	confirmed	>10uM
1274	inactive	
1275	no data	
1276	no data	
1277	no data	
1278	no data	
1279	known	
1280	no data	
1281	no data	
1282	no data	
1283	known_chembl	
1284	known_chembl	
1285	inactive	
1286	known	
1287	confirmed	10uM
1288	inactive	
1289	inactive	
1290	no data	
1291	inactive	
1292	known_chembl	
1293	no data	
1294	known	
1295	known	
1296	known_chembl	
1297	known	
1298	no data	
1299	no data	
1300	inactive	
1301	inactive	
1302	no data	
1303	no data	
1304	no data	
1305	inactive	
1306	no data	
1307	inactive	
1308	no data	
1309	inactive	
1310	no data	
1311	inactive	
1312	inactive	
1313	known	
1314	inactive	
1315	known_chembl	
1316	inactive	
1317	no data	
1318	no data	
1319	inactive	
1320	no data	
1321	known	
1322	inactive	
1323	inactive	
1324	inactive	
1325	inactive	
1326	inactive	
1327	known	
1328	known	
1329	known_chembl	
1330	known_chembl	
1331	known	
1332	confirmed	>10uM
1333	inactive	
1334	no data	
1335	no data	
1336	no data	
1337	known	
1338	known	
1339	confirmed	1uM
1340	known	
1341	confirmed	>10uM
1342	inactive	
1343	no data	
1344	confirmed	10uM
1345	inactive	
1346	no data	
1347	no data	
1348	inactive	
1349	known	
1350	known	
1351	inactive	
1352	known	
1353	no data	
1354	confirmed	10uM
1355	known	
1356	inactive	
1357	known	
1358	inactive	
1359	known	
1360	inactive	
1361	confirmed	10uM
1362	no data	
1363	confirmed	1uM
1364	known	
1365	known_chembl	
1366	no data	
1367	no data	
1368	known	
1369	no data	
1370	known	
1371	known_chembl	
1372	inactive	
1373	no data	
1374	known_chembl	
1375	known	
1376	known_chembl	
1377	known_chembl	
1378	known_chembl	
1379	known	
1380	known	
1381	inactive	
1382	inactive	
1383	known_chembl	
1384	known_chembl	
1385	known	
1386	inactive	
1387	known	
1388	known_chembl	
1389	inactive	
1390	known	
1391	no data	
1392	known_chembl	
1393	no data	
1394	known	
1395	known	
1396	inactive	
1397	inactive	
1398	known	
1399	known	
1400	known	
1401	known	
1402	inactive	
1403	no data	
1404	no data	
1405	known	
1406	inactive	
1407	known	
1408	inactive	
1409	known	
1410	no data	
1411	no data	
1412	no data	
1413	inactive	
1414	known	
1415	known_chembl	
1416	no data	
1417	known_chembl	
1418	confirmed	10uM
1419	confirmed	10uM
1420	known_chembl	
1421	confirmed	1uM
1422	known	
1423	known_chembl	
1424	no data	
1425	no data	
1426	known	
1427	inactive	
1428	confirmed	10uM
1429	known	
1430	inactive	
1431	no data	
1432	no data	
1433	inactive	
1434	inactive	
1435	known	
1436	known	
1437	known	
1438	known	
1439	known_chembl	
1440	known_chembl	
1441	no data	
1442	inactive	
1443	known	
1444	known	
1445	no data	
1446	inactive	
1447	known_chembl	
1448	no data	
1449	inactive	
1450	no data	
1451	no data	
1452	inactive	
1453	no data	
1454	inactive	
1455	known_chembl	
1456	inactive	
1457	known_chembl	
1458	known	
1459	confirmed	1uM
1460	inactive	
1461	no data	
1462	no data	
1463	inactive	
1464	inactive	
1465	no data	
1466	inactive	
1467	inactive	
1468	inactive	
1469	confirmed	>10uM
1470	no data	
1471	known	
1472	confirmed	10uM
1473	no data	
1474	no data	
1475	known_chembl	
1476	inactive	
1477	confirmed	10uM
1478	no data	
1479	known	
1480	inactive	
1481	no data	
1482	known_chembl	
1483	known	
1484	confirmed	10uM
1485	no data	
1486	known	
1487	no data	
1488	known_chembl	
1489	known_chembl	
1490	no data	
1491	no data	
1492	known	
1493	inactive	
1494	known_chembl	
1495	no data	
1496	inactive	
1497	inactive	
1498	known	
1499	known	
1500	inactive	
1501	known	
1502	known_chembl	
1503	known	
1504	confirmed	1uM
1505	confirmed	1uM
1506	known_chembl	
1507	inactive	
1508	inactive	
1509	no data	
1510	known_chembl	
1511	no data	
1512	confirmed	1uM
1513	inactive	
1514	no data	
1515	confirmed	>10uM
1516	inactive	
1517	known	
1518	known	
1519	no data	
1520	known_chembl	
1521	no data	
1522	no data	
1523	inactive	
1524	known	
1525	inactive	
1526	no data	
1527	inactive	
1528	inactive	
1529	inactive	
1530	no data	
1531	inactive	
1532	inactive	
1533	known	
1534	known	
1535	inactive	
1536	known	
1537	no data	
1538	known	
1539	no data	
1540	inactive	
1541	inactive	
1542	no data	
1543	no data	
1544	inactive	
1545	no data	
1546	inactive	
1547	inactive	
1548	known_chembl	
1549	no data	
1550	known_chembl	
1551	no data	
1552	no data	
1553	known	
1554	known_chembl	
1555	known_chembl	
1556	confirmed	>10uM
1557	confirmed	>10uM
1558	no data	
1559	known	
1560	known	
1561	known	
1562	no data	
1563	no data	
1564	no data	
1565	no data	
1566	no data	
1567	inactive	
1568	inactive	
1569	known_chembl	
1570	known	
1571	inactive	
1572	known	
1573	known	
1574	inactive	
1575	inactive	
1576	inactive	
1577	no data	
1578	inactive	
1579	inactive	
1580	no data	
1581	known	
1582	known	
1583	known	
1584	confirmed	1uM
1585	no data	
1586	no data	
1587	no data	
1588	no data	
1589	no data	
1590	no data	
1591	no data	
1592	known_chembl	
1593	known	
1594	inactive	
1595	confirmed	10uM
1596	no data	
1597	no data	
1598	no data	
1599	no data	
1600	known	
1601	known	
1602	known	
1603	inactive	
1604	inactive	
1605	known	
1606	inactive	
1607	known_chembl	
1608	inactive	
1609	inactive	
1610	no data	
1611	known	
1612	known_chembl	
1613	confirmed	10uM
1614	known_chembl	
1615	known_chembl	
1616	no data	
1617	no data	
1618	inactive	
1619	known	
1620	inactive	
1621	no data	
1622	confirmed	>10uM
1623	no data	
1624	known_chembl	
1625	inactive	
1626	known	
1627	known_chembl	
1628	known	
1629	known_chembl	
1630	inactive	
1631	confirmed	10uM
1632	inactive	
1633	no data	
1634	known	
1635	inactive	
1636	inactive	
1637	known	
1638	inactive	
1639	confirmed	10uM
1640	no data	
1641	no data	
1642	known	
1643	known	
1644	inactive	
1645	inactive	
1646	inactive	
1647	known_chembl	
1648	no data	
1649	known	
1650	known_chembl	
1651	inactive	
1652	known	
1653	inactive	
1654	inactive	
1655	inactive	
1656	inactive	
1657	confirmed	>10uM
1658	inactive	
1659	inactive	
1660	inactive	
1661	inactive	
1662	inactive	
1663	known	
1664	inactive	
1665	no data	
1666	no data	
1667	known	
1668	known_chembl	
1669	no data	
1670	confirmed	10uM
1671	known	
1672	known_chembl	
1673	inactive	
1674	no data	
1675	known_chembl	
1676	known	
1677	confirmed	1uM
1678	known_chembl	
1679	known	
1680	confirmed	10uM
1681	no data	
1682	no data	
1683	known_chembl	
1684	known_chembl	
1685	known_chembl	
1686	confirmed	1uM
1687	confirmed	10uM
1688	known	
1689	known	
1690	no data	
1691	no data	
1692	no data	
1693	no data	
1694	known	
1695	inactive	
1696	confirmed	10uM
1697	no data	
1698	no data	
1699	inactive	
1700	inactive	
1701	no data	
1702	known	
1703	inactive	
1704	known_chembl	
1705	inactive	
1706	no data	
1707	no data	
1708	known_chembl	
1709	confirmed	>10uM
1710	no data	
1711	inactive	
1712	no data	
1713	known	
1714	no data	
1715	inactive	
1716	known	
1717	no data	
1718	no data	
1719	no data	
1720	no data	
1721	no data	
1722	known	
1723	no data	
1724	no data	
1725	confirmed	10uM
1726	confirmed	>10uM
1727	inactive	
1728	inactive	
1729	inactive	
1730	no data	
1731	no data	
1732	inactive	
1733	confirmed	10uM
1734	inactive	
1735	no data	
1736	known	
1737	known	
1738	inactive	
1739	inactive	
1740	inactive	
1741	inactive	
1742	confirmed	>10uM
1743	inactive	
1744	known	
1745	no data	
1746	no data	
1747	inactive	
1748	confirmed	1uM
1749	inactive	
1750	known	
1751	no data	
1752	no data	
1753	inactive	
1754	known	
1755	confirmed	>10uM
1756	known	
1757	no data	
1758	no data	
1759	inactive	
1760	no data	
1761	no data	
1762	confirmed	10uM
1763	known	
1764	known	
1765	known	
1766	known	
1767	no data	
1768	no data	
1769	no data	
1770	inactive	
1771	confirmed	10uM
1772	inactive	
1773	no data	
1774	known	
1775	inactive	
